# step t_ps cv bias_e
0 0.0000 -1.462384 0.000000
10 0.0050 -1.463158 0.000000
20 0.0100 -1.463652 0.000000
30 0.0150 -1.463970 0.000000
40 0.0200 -1.464471 0.000000
50 0.0250 -1.465002 0.000000
60 0.0300 -1.465561 0.000000
70 0.0350 -1.466336 0.000000
80 0.0400 -1.467132 0.000000
90 0.0450 -1.467689 0.000000
100 0.0500 -1.467946 0.000000
110 0.0550 -1.468135 0.000000
120 0.0600 -1.468334 0.000000
130 0.0650 -1.468445 0.000000
140 0.0700 -1.468655 0.000000
150 0.0750 -1.468865 0.000000
160 0.0800 -1.468981 0.000000
170 0.0850 -1.469139 0.000000
180 0.0900 -1.469155 0.000000
190 0.0950 -1.469170 0.000000
200 0.1000 -1.469127 0.000000
210 0.1050 -1.469002 0.000000
220 0.1100 -1.468635 0.000000
230 0.1150 -1.468251 0.000000
240 0.1200 -1.467683 0.000000
250 0.1250 -1.466962 0.000000
260 0.1300 -1.465873 0.000000
270 0.1350 -1.464490 0.000000
280 0.1400 -1.463133 0.000000
290 0.1450 -1.461574 0.000000
300 0.1500 -1.460016 0.000000
310 0.1550 -1.458404 0.000000
320 0.1600 -1.456558 0.000000
330 0.1650 -1.454672 0.000000
340 0.1700 -1.452666 0.000000
350 0.1750 -1.450589 0.000000
360 0.1800 -1.448554 0.000000
370 0.1850 -1.446738 0.000000
380 0.1900 -1.444803 0.000000
390 0.1950 -1.442707 0.000000
400 0.2000 -1.440821 0.000000
410 0.2050 -1.439162 0.000000
420 0.2100 -1.437422 0.000000
430 0.2150 -1.435859 0.000000
440 0.2200 -1.434184 0.000000
450 0.2250 -1.432521 0.000000
460 0.2300 -1.430968 0.000000
470 0.2350 -1.429524 0.000000
480 0.2400 -1.427964 0.000000
490 0.2450 -1.426466 0.000000
500 0.2500 -1.425266 0.000000
510 0.2550 -1.424236 0.000351
520 0.2600 -1.423304 0.000685
530 0.2650 -1.422376 0.001033
540 0.2700 -1.421766 0.001270
550 0.2750 -1.421287 0.001461
560 0.2800 -1.420965 0.001592
