# step cv h sig
0 -1.462384 0.717018 0.0500
200 -1.461042 0.691108 0.0500
400 -1.451888 0.667933 0.0500
600 -1.434137 0.652497 0.0500
800 -1.472496 0.631433 0.0500
1000 -1.433666 0.616312 0.0500
1200 -1.396594 0.642892 0.0500
1400 -1.396237 0.622519 0.0500
1600 -1.367606 0.644738 0.0500
1800 -1.361983 0.631611 0.0500
2000 -1.314113 0.674212 0.0500
2200 -1.312720 0.652746 0.0500
2400 -1.298609 0.645863 0.0500
2600 -1.268309 0.657955 0.0500
2800 -1.242181 0.664824 0.0500
3000 -1.262624 0.622450 0.0500
3200 -1.264921 0.600891 0.0500
3400 -1.245465 0.602677 0.0500
3600 -1.216105 0.626486 0.0500
3800 -1.223516 0.595629 0.0500
4000 -1.281702 0.542734 0.0500
4200 -1.259987 0.530901 0.0500
4400 -1.299313 0.523525 0.0500
4600 -1.283468 0.502406 0.0500
4800 -1.280364 0.489071 0.0500
5000 -1.323112 0.509673 0.0500
5200 -1.324003 0.497486 0.0500
5400 -1.347661 0.511022 0.0500
5600 -1.357763 0.507654 0.0500
5800 -1.365907 0.501679 0.0500
6000 -1.401591 0.514260 0.0500
6200 -1.394440 0.496627 0.0500
6400 -1.442981 0.523890 0.0500
6600 -1.447934 0.516024 0.0500
6800 -1.482440 0.562003 0.0500
7000 -1.499612 0.583444 0.0500
7200 -1.523685 0.619305 0.0500
7400 -1.546668 0.643874 0.0500
7600 -1.566262 0.652913 0.0500
7800 -1.556546 0.618061 0.0500
8000 -1.582868 0.634776 0.0500
8200 -1.589294 0.622962 0.0500
8400 -1.612828 0.636016 0.0500
8600 -1.591447 0.588372 0.0500
8800 -1.609490 0.593954 0.0500
9000 -1.613685 0.582152 0.0500
9200 -1.638340 0.606334 0.0500
9400 -1.617190 0.554195 0.0500
9600 -1.625527 0.550635 0.0500
9800 -1.626557 0.536863 0.0500
10000 -1.618401 0.511244 0.0500
10200 -1.591536 0.482921 0.0500
10400 -1.563906 0.483236 0.0500
10600 -1.582662 0.461791 0.0500
10800 -1.541103 0.480676 0.0500
11000 -1.528715 0.477945 0.0500
11200 -1.497125 0.476092 0.0500
11400 -1.472291 0.461664 0.0500
11600 -1.436695 0.450028 0.0500
11800 -1.376415 0.454617 0.0500
12000 -1.394086 0.441593 0.0500
12200 -1.339474 0.436618 0.0500
12400 -1.357510 0.427600 0.0500
12600 -1.321193 0.419448 0.0500
12800 -1.304079 0.414820 0.0500
13000 -1.324383 0.402200 0.0500
13200 -1.260603 0.444523 0.0500
13400 -1.261341 0.433256 0.0500
13600 -1.266063 0.416461 0.0500
13800 -1.214960 0.525929 0.0500
14000 -1.235760 0.456901 0.0500
