# step t_ps cv bias_e
0 0.0000 -1.483269 0.000000
10 0.0050 -1.482674 0.238989
20 0.0100 -1.481966 0.238925
30 0.0150 -1.481219 0.238805
40 0.0200 -1.480451 0.238627
50 0.0250 -1.479609 0.238366
60 0.0300 -1.478848 0.238074
70 0.0350 -1.477862 0.237613
80 0.0400 -1.476986 0.237127
90 0.0450 -1.476280 0.236682
100 0.0500 -1.475600 0.236211
110 0.0550 -1.475080 0.459543
120 0.0600 -1.474659 0.459181
130 0.0650 -1.474156 0.458708
140 0.0700 -1.473535 0.458062
150 0.0750 -1.472994 0.457441
160 0.0800 -1.472546 0.456888
170 0.0850 -1.472197 0.456432
180 0.0900 -1.472114 0.456320
190 0.0950 -1.472019 0.456191
200 0.1000 -1.472112 0.456319
210 0.1050 -1.472355 0.667019
220 0.1100 -1.472751 0.667509
230 0.1150 -1.473242 0.668058
240 0.1200 -1.473680 0.668496
250 0.1250 -1.473771 0.668580
260 0.1300 -1.473399 0.668221
270 0.1350 -1.472850 0.667625
280 0.1400 -1.472341 0.667001
290 0.1450 -1.471765 0.666214
300 0.1500 -1.470989 0.665016
310 0.1550 -1.470109 0.861895
320 0.1600 -1.469041 0.859628
330 0.1650 -1.467873 0.856713
340 0.1700 -1.466621 0.853089
350 0.1750 -1.465418 0.849122
360 0.1800 -1.464283 0.844954
370 0.1850 -1.463078 0.840081
380 0.1900 -1.461716 0.834028
390 0.1950 -1.460210 0.826679
400 0.2000 -1.458635 0.818274
410 0.2050 -1.457107 0.999487
420 0.2100 -1.455499 0.989207
430 0.2150 -1.453642 0.976245
440 0.2200 -1.451892 0.963001
450 0.2250 -1.450087 0.948344
460 0.2300 -1.448040 0.930554
470 0.2350 -1.445970 0.911397
480 0.2400 -1.443942 0.891558
490 0.2450 -1.441909 0.870706
500 0.2500 -1.439943 0.849704
510 0.2550 -1.438092 1.017590
520 0.2600 -1.436402 0.998054
530 0.2650 -1.434958 0.980847
540 0.2700 -1.433662 0.965037
550 0.2750 -1.432595 0.951763
560 0.2800 -1.431716 0.940670
570 0.2850 -1.431062 0.932326
580 0.2900 -1.430515 0.925297
590 0.2950 -1.430154 0.920641
600 0.3000 -1.430072 0.919581
610 0.3050 -1.430019 1.103709
620 0.3100 -1.430112 1.104925
630 0.3150 -1.430274 1.107017
640 0.3200 -1.430613 1.111378
650 0.3250 -1.430954 1.115740
660 0.3300 -1.431088 1.117457
670 0.3350 -1.431002 1.116351
680 0.3400 -1.430650 1.111849
690 0.3450 -1.430305 1.107414
700 0.3500 -1.429870 1.101774
710 0.3550 -1.429378 1.270984
720 0.3600 -1.428936 1.265145
730 0.3650 -1.428466 1.258868
740 0.3700 -1.428100 1.253943
750 0.3750 -1.427680 1.248245
760 0.3800 -1.427282 1.242803
770 0.3850 -1.427229 1.242071
780 0.3900 -1.427118 1.240542
790 0.3950 -1.427200 1.241677
800 0.4000 -1.427497 1.245752
810 0.4050 -1.427709 1.417353
820 0.4100 -1.427814 1.418779
830 0.4150 -1.427732 1.417671
840 0.4200 -1.427535 1.414977
850 0.4250 -1.427149 1.409689
860 0.4300 -1.426546 1.401316
870 0.4350 -1.425619 1.388212
880 0.4400 -1.424281 1.368826
890 0.4450 -1.422671 1.344806
900 0.4500 -1.420964 1.318567
910 0.4550 -1.419145 1.454997
920 0.4600 -1.417162 1.422416
930 0.4650 -1.415151 1.388300
940 0.4700 -1.413223 1.354686
950 0.4750 -1.411464 1.323321
960 0.4800 -1.409799 1.293090
970 0.4850 -1.407872 1.257541
980 0.4900 -1.405771 1.218214
990 0.4950 -1.403516 1.175465
1000 0.5000 -1.401021 1.127698
1010 0.5050 -1.398533 1.253947
1020 0.5100 -1.395975 1.203924
1030 0.5150 -1.393157 1.148445
1040 0.5200 -1.390365 1.093350
1050 0.5250 -1.387559 1.038107
1060 0.5300 -1.384719 0.982570
1070 0.5350 -1.381875 0.927596
1080 0.5400 -1.379121 0.875173
1090 0.5450 -1.376400 0.824365
