# step cv h sig
0 -1.462384 0.239006 0.0500
100 -1.479119 0.224373 0.0500
200 -1.496600 0.213708 0.0500
300 -1.493372 0.200637 0.0500
400 -1.473348 0.189342 0.0500
500 -1.461676 0.182445 0.0500
600 -1.467147 0.171860 0.0500
700 -1.472848 0.162965 0.0500
800 -1.469166 0.156159 0.0500
900 -1.447520 0.158826 0.0500
1000 -1.430392 0.165939 0.0500
1100 -1.431916 0.157040 0.0500
1200 -1.433147 0.149259 0.0500
1300 -1.416424 0.158939 0.0500
1400 -1.408886 0.160057 0.0500
1500 -1.406879 0.155195 0.0500
1600 -1.404548 0.151043 0.0500
1700 -1.390233 0.160441 0.0500
1800 -1.374311 0.171655 0.0500
1900 -1.372450 0.165689 0.0500
2000 -1.374329 0.156192 0.0500
2100 -1.362449 0.162023 0.0500
2200 -1.346179 0.172325 0.0500
2300 -1.350524 0.159723 0.0500
2400 -1.347054 0.156193 0.0500
2500 -1.321684 0.175975 0.0500
2600 -1.295815 0.194142 0.0500
2700 -1.292313 0.187111 0.0500
2800 -1.304216 0.167297 0.0500
2900 -1.310674 0.154502 0.0500
3000 -1.312375 0.146713 0.0500
3100 -1.314435 0.139391 0.0500
3200 -1.327547 0.126466 0.0500
3300 -1.323300 0.124258 0.0500
3400 -1.304531 0.132372 0.0500
3500 -1.285970 0.144490 0.0500
3600 -1.289167 0.135637 0.0500
3700 -1.301611 0.120463 0.0500
3800 -1.325903 0.105068 0.0500
3900 -1.339445 0.099622 0.0500
4000 -1.337852 0.097050 0.0500
4100 -1.338397 0.094394 0.0500
4200 -1.353831 0.091735 0.0500
4300 -1.372525 0.091624 0.0500
4400 -1.364907 0.088243 0.0500
4500 -1.343727 0.085441 0.0500
4600 -1.347117 0.083234 0.0500
4700 -1.368558 0.082977 0.0500
4800 -1.369513 0.081232 0.0500
4900 -1.349656 0.077883 0.0500
5000 -1.342834 0.076712 0.0500
5100 -1.372863 0.077057 0.0500
5200 -1.396645 0.081815 0.0500
5300 -1.380242 0.075465 0.0500
5400 -1.359834 0.070798 0.0500
5500 -1.374478 0.071299 0.0500
5600 -1.394542 0.075149 0.0500
5700 -1.388926 0.071921 0.0500
5800 -1.370809 0.066689 0.0500
5900 -1.377664 0.066576 0.0500
6000 -1.414706 0.077098 0.0500
6100 -1.424054 0.079369 0.0500
