# step cv h sig
16800 -1.520840 0.052189 0.0500
16900 -1.519230 0.050154 0.0500
17000 -1.511972 0.044488 0.0500
17100 -1.506660 0.041027 0.0500
17200 -1.507074 0.040765 0.0500
17300 -1.510177 0.041926 0.0500
17400 -1.514360 0.043898 0.0500
17500 -1.520066 0.047277 0.0500
17600 -1.524921 0.050540 0.0500
17700 -1.523005 0.048253 0.0500
17800 -1.514500 0.041736 0.0500
17900 -1.508225 0.037945 0.0500
18000 -1.509527 0.038162 0.0500
18100 -1.514896 0.040619 0.0500
18200 -1.509692 0.037412 0.0500
18300 -1.504126 0.034666 0.0500
18400 -1.495884 0.031781 0.0500
18500 -1.495206 0.031335 0.0500
18600 -1.504524 0.033888 0.0500
18700 -1.516912 0.039553 0.0500
18800 -1.514506 0.037736 0.0500
18900 -1.503509 0.032511 0.0500
19000 -1.491730 0.029205 0.0500
19100 -1.485168 0.028046 0.0500
19200 -1.474227 0.027237 0.0500
19300 -1.468811 0.027097 0.0500
19400 -1.471053 0.026840 0.0500
19500 -1.474820 0.026634 0.0500
19600 -1.474685 0.026435 0.0500
19700 -1.482434 0.026582 0.0500
19800 -1.489036 0.027121 0.0500
19900 -1.482342 0.026181 0.0500
20000 -1.468453 0.025762 0.0500
20100 -1.458754 0.026222 0.0500
20200 -1.454449 0.026478 0.0500
20300 -1.438171 0.028605 0.0500
20400 -1.420400 0.031445 0.0500
20500 -1.417028 0.031748 0.0500
20600 -1.429327 0.029369 0.0500
20700 -1.436298 0.027986 0.0500
20800 -1.432695 0.028347 0.0500
20900 -1.424366 0.029511 0.0500
21000 -1.410016 0.031683 0.0500
21100 -1.395157 0.033752 0.0500
21200 -1.394744 0.033497 0.0500
21300 -1.396972 0.032852 0.0500
21400 -1.393568 0.033055 0.0500
21500 -1.391963 0.032984 0.0500
21600 -1.394830 0.032268 0.0500
21700 -1.397138 0.031648 0.0500
21800 -1.383888 0.033269 0.0500
21900 -1.366895 0.035644 0.0500
22000 -1.345986 0.039830 0.0500
22100 -1.329965 0.044671 0.0500
22200 -1.326592 0.045504 0.0500
22300 -1.325356 0.045461 0.0500
22400 -1.327483 0.043994 0.0500
22500 -1.323782 0.045025 0.0500
22600 -1.307956 0.053038 0.0500
22700 -1.289049 0.067517 0.0500
22800 -1.296888 0.059297 0.0500
22900 -1.303795 0.053213 0.0500
23000 -1.283930 0.069348 0.0500
23100 -1.266335 0.089374 0.0500
23200 -1.269001 0.083605 0.0500
23300 -1.275868 0.073399 0.0500
23400 -1.280649 0.066856 0.0500
23500 -1.281968 0.064333 0.0500
23600 -1.285615 0.059886 0.0500
23700 -1.299227 0.049027 0.0500
23800 -1.303908 0.045740 0.0500
23900 -1.300954 0.046753 0.0500
24000 -1.295843 0.049197 0.0500
24100 -1.298965 0.046637 0.0500
24200 -1.308974 0.041091 0.0500
24300 -1.315584 0.038144 0.0500
24400 -1.311946 0.039023 0.0500
24500 -1.300164 0.043928 0.0500
24600 -1.296375 0.045535 0.0500
24700 -1.311439 0.037865 0.0500
24800 -1.327802 0.033063 0.0500
24900 -1.326609 0.032990 0.0500
25000 -1.327214 0.032570 0.0500
25100 -1.340281 0.030428 0.0500
25200 -1.353698 0.029281 0.0500
25300 -1.357016 0.028926 0.0500
25400 -1.347746 0.029110 0.0500
25500 -1.356668 0.028475 0.0500
25600 -1.388062 0.027880 0.0500
25700 -1.386529 0.027687 0.0500
25800 -1.360728 0.027772 0.0500
25900 -1.362148 0.027526 0.0500
26000 -1.396403 0.026938 0.0500
26100 -1.408519 0.026313 0.0500
26200 -1.372115 0.026860 0.0500
26300 -1.352745 0.027181 0.0500
26400 -1.385324 0.026382 0.0500
26500 -1.418160 0.025242 0.0500
26600 -1.398419 0.025833 0.0500
26700 -1.363813 0.026158 0.0500
26800 -1.379436 0.025737 0.0500
26900 -1.422666 0.024440 0.0500
27000 -1.419015 0.024457 0.0500
27100 -1.387465 0.025207 0.0500
27200 -1.395928 0.024897 0.0500
27300 -1.429424 0.023499 0.0500
27400 -1.420050 0.023800 0.0500
27500 -1.389342 0.024578 0.0500
27600 -1.385355 0.024479 0.0500
27700 -1.417346 0.023491 0.0500
27800 -1.422105 0.023143 0.0500
27900 -1.398947 0.023771 0.0500
28000 -1.391834 0.023775 0.0500
28100 -1.416611 0.022936 0.0500
28200 -1.427350 0.022384 0.0500
28300 -1.405139 0.023024 0.0500
28400 -1.391931 0.023223 0.0500
28500 -1.403487 0.022779 0.0500
28600 -1.411168 0.022414 0.0500
28700 -1.394994 0.022719 0.0500
28800 -1.382858 0.022898 0.0500
28900 -1.391345 0.022525 0.0500
29000 -1.400567 0.022160 0.0500
29100 -1.400232 0.022031 0.0500
29200 -1.406204 0.021752 0.0500
29300 -1.410866 0.021506 0.0500
29400 -1.409144 0.021419 0.0500
29500 -1.397355 0.021581 0.0500
29600 -1.409439 0.021160 0.0500
29700 -1.436602 0.020473 0.0500
29800 -1.425160 0.020568 0.0500
29900 -1.398225 0.021110 0.0500
30000 -1.405923 0.020784 0.0500
30100 -1.433580 0.020095 0.0500
30200 -1.423008 0.020167 0.0500
30300 -1.383269 0.021194 0.0500
30400 -1.384280 0.021028 0.0500
30500 -1.420320 0.019929 0.0500
30600 -1.432576 0.019635 0.0500
30700 -1.398377 0.020243 0.0500
30800 -1.384053 0.020641 0.0500
30900 -1.411625 0.019689 0.0500
31000 -1.428667 0.019307 0.0500
31100 -1.396327 0.019886 0.0500
31200 -1.369144 0.021088 0.0500
31300 -1.395066 0.019715 0.0500
31400 -1.414202 0.019153 0.0500
31500 -1.397644 0.019430 0.0500
31600 -1.371670 0.020517 0.0500
31700 -1.381558 0.019833 0.0500
31800 -1.397288 0.019137 0.0500
31900 -1.383298 0.019541 0.0500
32000 -1.354204 0.021676 0.0500
32100 -1.354559 0.021503 0.0500
32200 -1.371520 0.019869 0.0500
32300 -1.374018 0.019603 0.0500
32400 -1.358076 0.020769 0.0500
32500 -1.340522 0.023082 0.0500
32600 -1.341829 0.022703 0.0500
32700 -1.356548 0.020557 0.0500
32800 -1.351262 0.021047 0.0500
32900 -1.330660 0.024590 0.0500
33000 -1.318069 0.028113 0.0500
33100 -1.316077 0.028610 0.0500
33200 -1.323145 0.026041 0.0500
33300 -1.322262 0.026116 0.0500
33400 -1.308161 0.031223 0.0500
33500 -1.294093 0.038869 0.0500
33600 -1.285126 0.045282 0.0500
33700 -1.280268 0.049080 0.0500
33800 -1.279563 0.049082 0.0500
33900 -1.278874 0.049070 0.0500
34000 -1.271214 0.056394 0.0500
34100 -1.266206 0.061467 0.0500
34200 -1.261062 0.067128 0.0500
34300 -1.259493 0.068030 0.0500
34400 -1.256042 0.071622 0.0500
34500 -1.245501 0.086751 0.0500
34600 -1.234129 0.105034 0.0500
34700 -1.232641 0.104762 0.0500
34800 -1.231509 0.103808 0.0500
34900 -1.235045 0.094638 0.0500
35000 -1.224237 0.111294 0.0500
35100 -1.210225 0.133881 0.0500
35200 -1.206358 0.136004 0.0500
35300 -1.211794 0.121435 0.0500
35400 -1.215725 0.110836 0.0500
35500 -1.209878 0.116954 0.0500
35600 -1.208549 0.115317 0.0500
35700 -1.226030 0.086137 0.0500
35800 -1.227308 0.082415 0.0500
35900 -1.209830 0.104900 0.0500
36000 -1.204010 0.110575 0.0500
36100 -1.227769 0.075667 0.0500
36200 -1.244227 0.057447 0.0500
36300 -1.235087 0.065148 0.0500
36400 -1.217552 0.083825 0.0500
36500 -1.243190 0.055277 0.0500
36600 -1.267989 0.037928 0.0500
36700 -1.258020 0.043196 0.0500
36800 -1.233773 0.061701 0.0500
36900 -1.234072 0.060363 0.0500
37000 -1.254150 0.043768 0.0500
37100 -1.262181 0.038584 0.0500
37200 -1.253886 0.042943 0.0500
37300 -1.247131 0.046918 0.0500
37400 -1.270090 0.033551 0.0500
37500 -1.297344 0.024711 0.0500
37600 -1.300403 0.023896 0.0500
37700 -1.290605 0.025980 0.0500
37800 -1.292012 0.025437 0.0500
37900 -1.306609 0.022278 0.0500
38000 -1.315833 0.020800 0.0500
38100 -1.316924 0.020544 0.0500
38200 -1.318511 0.020239 0.0500
38300 -1.314373 0.020631 0.0500
38400 -1.308702 0.021314 0.0500
38500 -1.305162 0.021758 0.0500
38600 -1.305017 0.021651 0.0500
38700 -1.310060 0.020732 0.0500
38800 -1.310797 0.020508 0.0500
38900 -1.309582 0.020563 0.0500
39000 -1.324822 0.018726 0.0500
39100 -1.340327 0.017669 0.0500
39200 -1.331993 0.018015 0.0500
39300 -1.310024 0.020105 0.0500
39400 -1.308366 0.020234 0.0500
39500 -1.323930 0.018326 0.0500
39600 -1.334300 0.017524 0.0500
39700 -1.318276 0.018682 0.0500
39800 -1.297527 0.021755 0.0500
39900 -1.302977 0.020584 0.0500
40000 -1.335654 0.017125 0.0500
40100 -1.357741 0.016568 0.0500
40200 -1.340902 0.016765 0.0500
40300 -1.313746 0.018670 0.0500
40400 -1.328646 0.017199 0.0500
40500 -1.369944 0.016392 0.0500
40600 -1.383193 0.016575 0.0500
40700 -1.357181 0.016157 0.0500
40800 -1.338872 0.016419 0.0500
40900 -1.370835 0.016126 0.0500
41000 -1.409726 0.017071 0.0500
41100 -1.395922 0.016584 0.0500
41200 -1.362040 0.015850 0.0500
41300 -1.366510 0.015810 0.0500
41400 -1.406975 0.016729 0.0500
41500 -1.418184 0.017003 0.0500
41600 -1.379905 0.015840 0.0500
41700 -1.372049 0.015635 0.0500
41800 -1.409272 0.016528 0.0500
41900 -1.438004 0.017440 0.0500
42000 -1.415743 0.016589 0.0500
42100 -1.395180 0.015898 0.0500
42200 -1.426161 0.016792 0.0500
42300 -1.456380 0.018092 0.0500
42400 -1.428198 0.016712 0.0500
42500 -1.403285 0.015878 0.0500
42600 -1.419146 0.016272 0.0500
42700 -1.442970 0.017075 0.0500
42800 -1.431557 0.016537 0.0500
42900 -1.406131 0.015694 0.0500
43000 -1.417902 0.015952 0.0500
43100 -1.456575 0.017577 0.0500
43200 -1.451265 0.017147 0.0500
43300 -1.422389 0.015891 0.0500
43400 -1.428323 0.016005 0.0500
43500 -1.476807 0.019437 0.0500
43600 -1.491367 0.022283 0.0500
43700 -1.455631 0.017046 0.0500
43800 -1.431973 0.015881 0.0500
43900 -1.460714 0.017271 0.0500
44000 -1.487185 0.020911 0.0500
44100 -1.481010 0.019563 0.0500
44200 -1.465112 0.017390 0.0500
44300 -1.472333 0.018082 0.0500
44400 -1.497173 0.023171 0.0500
44500 -1.520254 0.034409 0.0500
44600 -1.527451 0.039758 0.0500
44700 -1.523645 0.036193 0.0500
44800 -1.536679 0.048070 0.0500
44900 -1.558035 0.078587 0.0500
45000 -1.570315 0.100726 0.0500
45100 -1.567045 0.091391 0.0500
45200 -1.566345 0.087754 0.0500
45300 -1.572707 0.097867 0.0500
45400 -1.578157 0.106070 0.0500
45500 -1.577569 0.101813 0.0500
45600 -1.576667 0.097239 0.0500
45700 -1.578804 0.098613 0.0500
45800 -1.579834 0.097824 0.0500
45900 -1.580570 0.096513 0.0500
46000 -1.579867 0.092710 0.0500
46100 -1.579484 0.089686 0.0500
46200 -1.589153 0.104231 0.0500
46300 -1.590320 0.103290 0.0500
46400 -1.587830 0.096122 0.0500
46500 -1.591291 0.099323 0.0500
46600 -1.590604 0.095480 0.0500
46700 -1.593052 0.096891 0.0500
46800 -1.593314 0.094715 0.0500
46900 -1.589074 0.085848 0.0500
47000 -1.583133 0.075557 0.0500
47100 -1.584812 0.076204 0.0500
47200 -1.592994 0.085917 0.0500
47300 -1.588154 0.077211 0.0500
47400 -1.577633 0.062816 0.0500
47500 -1.585712 0.071182 0.0500
47600 -1.606709 0.099408 0.0500
47700 -1.608422 0.099358 0.0500
47800 -1.592919 0.074957 0.0500
47900 -1.588172 0.067751 0.0500
48000 -1.608647 0.093425 0.0500
48100 -1.602034 0.081727 0.0500
48200 -1.568195 0.045684 0.0500
48300 -1.563008 0.041491 0.0500
48400 -1.602863 0.079494 0.0500
48500 -1.609846 0.087287 0.0500
48600 -1.572623 0.046190 0.0500
48700 -1.567805 0.042255 0.0500
48800 -1.590505 0.060410 0.0500
48900 -1.590089 0.058986 0.0500
49000 -1.567134 0.040103 0.0500
49100 -1.559171 0.035184 0.0500
49200 -1.577294 0.046097 0.0500
49300 -1.591183 0.057325 0.0500
49400 -1.578323 0.045560 0.0500
49500 -1.561093 0.034521 0.0500
49600 -1.563829 0.035590 0.0500
49700 -1.585299 0.049564 0.0500
49800 -1.599757 0.062850 0.0500
49900 -1.590077 0.052126 0.0500
50000 -1.579551 0.043098 0.0500
50100 -1.591158 0.051727 0.0500
50200 -1.596859 0.056355 0.0500
50300 -1.565842 0.033619 0.0500
50400 -1.530811 0.021875 0.0500
50500 -1.532110 0.022020 0.0500
50600 -1.555968 0.028798 0.0500
50700 -1.556574 0.028795 0.0500
50800 -1.528491 0.020846 0.0500
50900 -1.520104 0.019283 0.0500
51000 -1.535615 0.022102 0.0500
51100 -1.535676 0.021979 0.0500
51200 -1.517635 0.018599 0.0500
51300 -1.504300 0.016986 0.0500
51400 -1.512434 0.017751 0.0500
51500 -1.526672 0.019750 0.0500
51600 -1.530128 0.020282 0.0500
51700 -1.513872 0.017646 0.0500
51800 -1.507658 0.016884 0.0500
51900 -1.517617 0.017953 0.0500
52000 -1.522193 0.018521 0.0500
52100 -1.516084 0.017572 0.0500
52200 -1.507666 0.016560 0.0500
52300 -1.499652 0.015835 0.0500
52400 -1.491951 0.015325 0.0500
52500 -1.481991 0.014906 0.0500
52600 -1.472417 0.014682 0.0500
52700 -1.470970 0.014609 0.0500
52800 -1.469420 0.014539 0.0500
52900 -1.455457 0.014485 0.0500
53000 -1.450991 0.014453 0.0500
53100 -1.455609 0.014368 0.0500
53200 -1.451889 0.014332 0.0500
53300 -1.427904 0.014459 0.0500
53400 -1.420111 0.014446 0.0500
53500 -1.427300 0.014347 0.0500
53600 -1.417405 0.014344 0.0500
53700 -1.392700 0.014375 0.0500
53800 -1.394759 0.014309 0.0500
53900 -1.419316 0.014177 0.0500
54000 -1.414152 0.014139 0.0500
54100 -1.386300 0.014196 0.0500
54200 -1.379250 0.014196 0.0500
54300 -1.387957 0.014074 0.0500
54400 -1.368692 0.014226 0.0500
54500 -1.346857 0.014816 0.0500
54600 -1.342167 0.014987 0.0500
54700 -1.358638 0.014278 0.0500
54800 -1.363208 0.014111 0.0500
54900 -1.348500 0.014511 0.0500
55000 -1.337234 0.015049 0.0500
55100 -1.338508 0.014905 0.0500
55200 -1.343294 0.014573 0.0500
55300 -1.325499 0.015805 0.0500
55400 -1.307603 0.018075 0.0500
55500 -1.303915 0.018638 0.0500
55600 -1.320419 0.016114 0.0500
55700 -1.333637 0.014849 0.0500
55800 -1.322200 0.015783 0.0500
55900 -1.299147 0.019270 0.0500
56000 -1.290904 0.021123 0.0500
56100 -1.301484 0.018581 0.0500
56200 -1.317342 0.016024 0.0500
56300 -1.325779 0.015081 0.0500
56400 -1.334602 0.014357 0.0500
56500 -1.341369 0.013937 0.0500
56600 -1.345331 0.013720 0.0500
56700 -1.343206 0.013750 0.0500
56800 -1.341513 0.013770 0.0500
56900 -1.342717 0.013665 0.0500
57000 -1.349216 0.013384 0.0500
57100 -1.352888 0.013241 0.0500
57200 -1.367308 0.013023 0.0500
57300 -1.374590 0.012981 0.0500
57400 -1.363971 0.012945 0.0500
57500 -1.363117 0.012904 0.0500
57600 -1.377778 0.012861 0.0500
57700 -1.391693 0.012965 0.0500
57800 -1.396035 0.012981 0.0500
57900 -1.394979 0.012918 0.0500
58000 -1.406228 0.013047 0.0500
58100 -1.418463 0.013190 0.0500
58200 -1.414369 0.013080 0.0500
58300 -1.408751 0.012945 0.0500
58400 -1.417388 0.013031 0.0500
58500 -1.428551 0.013143 0.0500
58600 -1.423687 0.013028 0.0500
58700 -1.422314 0.012962 0.0500
58800 -1.436870 0.013108 0.0500
58900 -1.454749 0.013289 0.0500
59000 -1.452668 0.013211 0.0500
59100 -1.434016 0.012936 0.0500
59200 -1.439805 0.012957 0.0500
59300 -1.461627 0.013215 0.0500
59400 -1.461246 0.013159 0.0500
59500 -1.443067 0.012860 0.0500
59600 -1.447192 0.012862 0.0500
59700 -1.471673 0.013263 0.0500
59800 -1.486002 0.013774 0.0500
59900 -1.468707 0.013087 0.0500
60000 -1.453690 0.012770 0.0500
60100 -1.457777 0.012782 0.0500
60200 -1.466746 0.012903 0.0500
60300 -1.461893 0.012759 0.0500
60400 -1.446545 0.012515 0.0500
60500 -1.437900 0.012401 0.0500
60600 -1.440105 0.012375 0.0500
60700 -1.450702 0.012428 0.0500
60800 -1.436974 0.012268 0.0500
60900 -1.421134 0.012140 0.0500
61000 -1.432282 0.012157 0.0500
61100 -1.436833 0.012145 0.0500
61200 -1.425012 0.012037 0.0500
61300 -1.416011 0.011960 0.0500
61400 -1.412131 0.011909 0.0500
61500 -1.420961 0.011900 0.0500
61600 -1.419878 0.011856 0.0500
61700 -1.403763 0.011779 0.0500
61800 -1.394097 0.011751 0.0500
61900 -1.398857 0.011704 0.0500
62000 -1.411085 0.011677 0.0500
62100 -1.405892 0.011629 0.0500
62200 -1.379254 0.011704 0.0500
62300 -1.372433 0.011760 0.0500
62400 -1.381677 0.011603 0.0500
62500 -1.378577 0.011598 0.0500
62600 -1.358982 0.011960 0.0500
62700 -1.349550 0.012275 0.0500
62800 -1.368691 0.011639 0.0500
62900 -1.386306 0.011394 0.0500
63000 -1.375954 0.011450 0.0500
63100 -1.355973 0.011873 0.0500
63200 -1.357170 0.011793 0.0500
63300 -1.388144 0.011253 0.0500
63400 -1.404988 0.011241 0.0500
63500 -1.392248 0.011176 0.0500
63600 -1.373608 0.011278 0.0500
63700 -1.387055 0.011120 0.0500
63800 -1.409471 0.011142 0.0500
63900 -1.400459 0.011054 0.0500
64000 -1.378029 0.011092 0.0500
64100 -1.380088 0.011036 0.0500
64200 -1.400663 0.010959 0.0500
64300 -1.405386 0.010952 0.0500
64400 -1.380674 0.010936 0.0500
64500 -1.371762 0.011025 0.0500
64600 -1.386167 0.010830 0.0500
64700 -1.398590 0.010793 0.0500
64800 -1.397464 0.010756 0.0500
64900 -1.392249 0.010717 0.0500
65000 -1.404325 0.010728 0.0500
65100 -1.429869 0.011036 0.0500
65200 -1.434523 0.011092 0.0500
65300 -1.419065 0.010794 0.0500
65400 -1.418935 0.010760 0.0500
65500 -1.438472 0.011077 0.0500
65600 -1.446887 0.011240 0.0500
65700 -1.428719 0.010818 0.0500
65800 -1.423840 0.010706 0.0500
65900 -1.448500 0.011185 0.0500
66000 -1.461555 0.011551 0.0500
66100 -1.438038 0.010870 0.0500
66200 -1.418976 0.010524 0.0500
66300 -1.434859 0.010743 0.0500
66400 -1.450213 0.011070 0.0500
66500 -1.429340 0.010581 0.0500
66600 -1.399964 0.010299 0.0500
