# step cv h sig
0 -1.455586 0.239006 0.0500
100 -1.482065 0.225521 0.0500
200 -1.535793 0.226476 0.0500
300 -1.521727 0.208877 0.0500
400 -1.477430 0.196664 0.0500
500 -1.478689 0.185911 0.0500
600 -1.513016 0.179748 0.0500
700 -1.525473 0.176082 0.0500
800 -1.484900 0.162515 0.0500
900 -1.457553 0.168240 0.0500
1000 -1.473881 0.152021 0.0500
1100 -1.495545 0.143031 0.0500
1200 -1.476301 0.139615 0.0500
1300 -1.449970 0.150394 0.0500
1400 -1.452495 0.142143 0.0500
1500 -1.474359 0.125382 0.0500
1600 -1.465739 0.124114 0.0500
1700 -1.432204 0.147877 0.0500
1800 -1.403597 0.177704 0.0500
1900 -1.409783 0.161506 0.0500
2000 -1.429604 0.133019 0.0500
2100 -1.414483 0.143762 0.0500
2200 -1.380780 0.178252 0.0500
2300 -1.379278 0.171299 0.0500
2400 -1.396142 0.145351 0.0500
2500 -1.379132 0.157298 0.0500
2600 -1.340797 0.191733 0.0500
2700 -1.322910 0.198293 0.0500
2800 -1.337748 0.175125 0.0500
2900 -1.356373 0.152086 0.0500
3000 -1.354439 0.147174 0.0500
3100 -1.344389 0.148760 0.0500
3200 -1.331824 0.152948 0.0500
3300 -1.329954 0.148131 0.0500
3400 -1.328596 0.143251 0.0500
3500 -1.315584 0.149287 0.0500
3600 -1.299482 0.159887 0.0500
3700 -1.308404 0.143803 0.0500
3800 -1.338847 0.117297 0.0500
3900 -1.346058 0.110781 0.0500
4000 -1.326519 0.116670 0.0500
4100 -1.318693 0.118393 0.0500
4200 -1.336632 0.104295 0.0500
4300 -1.339888 0.100129 0.0500
4400 -1.302934 0.123209 0.0500
4500 -1.275893 0.153620 0.0500
4600 -1.304988 0.112758 0.0500
4700 -1.358417 0.089841 0.0500
4800 -1.366256 0.088400 0.0500
4900 -1.340088 0.086762 0.0500
5000 -1.328927 0.088161 0.0500
5100 -1.349352 0.081626 0.0500
5200 -1.379443 0.084039 0.0500
5300 -1.378280 0.081800 0.0500
5400 -1.352862 0.076585 0.0500
5500 -1.357871 0.075063 0.0500
5600 -1.399444 0.083064 0.0500
5700 -1.417397 0.085741 0.0500
5800 -1.381527 0.074750 0.0500
