# step cv h sig
0 -1.455586 0.239006 0.0500
100 -1.473423 0.224481 0.0500
200 -1.520311 0.222995 0.0500
300 -1.525375 0.211169 0.0500
400 -1.516542 0.196596 0.0500
500 -1.539650 0.194456 0.0500
600 -1.567708 0.200425 0.0500
700 -1.557937 0.183767 0.0500
800 -1.520198 0.165073 0.0500
900 -1.508527 0.159108 0.0500
1000 -1.526419 0.151326 0.0500
1100 -1.538438 0.147909 0.0500
1200 -1.534587 0.140751 0.0500
1300 -1.547665 0.140547 0.0500
1400 -1.569022 0.151099 0.0500
1500 -1.562834 0.139585 0.0500
1600 -1.514987 0.124448 0.0500
1700 -1.481257 0.143102 0.0500
1800 -1.478372 0.140195 0.0500
1900 -1.497120 0.120411 0.0500
2000 -1.512768 0.109954 0.0500
2100 -1.518195 0.105695 0.0500
2200 -1.523015 0.102393 0.0500
2300 -1.536442 0.101906 0.0500
2400 -1.531359 0.097659 0.0500
2500 -1.499956 0.101126 0.0500
2600 -1.471865 0.122914 0.0500
2700 -1.480991 0.109362 0.0500
2800 -1.513095 0.088536 0.0500
2900 -1.530958 0.087457 0.0500
3000 -1.524315 0.084062 0.0500
3100 -1.516044 0.082091 0.0500
3200 -1.499747 0.085182 0.0500
3300 -1.480426 0.097359 0.0500
3400 -1.464060 0.113138 0.0500
3500 -1.463320 0.110547 0.0500
3600 -1.480055 0.089623 0.0500
3700 -1.499819 0.075487 0.0500
3800 -1.514046 0.071208 0.0500
3900 -1.515302 0.069797 0.0500
4000 -1.509622 0.068782 0.0500
4100 -1.498600 0.070302 0.0500
4200 -1.484289 0.076933 0.0500
4300 -1.469916 0.088279 0.0500
4400 -1.458804 0.099374 0.0500
4500 -1.470105 0.083632 0.0500
4600 -1.495447 0.064572 0.0500
4700 -1.514858 0.060748 0.0500
4800 -1.509050 0.059627 0.0500
4900 -1.504931 0.059035 0.0500
5000 -1.502238 0.058531 0.0500
5100 -1.493675 0.060143 0.0500
5200 -1.485934 0.062915 0.0500
5300 -1.485297 0.062187 0.0500
5400 -1.481303 0.063627 0.0500
