# FES reconstruction from WT-MetaD HILLS (Python, 96k Gaussians)
# CV (Ang)  FES (kJ/mol)
2.042084  306.677301
2.059118  311.991197
2.076152  311.392560
2.093186  313.740071
2.110220  312.849563
2.127255  311.733878
2.144289  315.593406
2.161323  322.892350
2.178357  326.021959
2.195391  324.223617
2.212425  329.841799
2.229459  323.055110
2.246493  324.323847
2.263527  321.316575
2.280561  319.865805
2.297595  323.095765
2.314629  316.804953
2.331663  315.959869
2.348697  322.176082
2.365731  316.811604
2.382766  320.531905
2.399800  329.811858
2.416834  321.834379
2.433868  322.690238
2.450902  326.092843
2.467936  328.637269
2.484970  320.492689
2.502004  327.488171
2.519038  328.364956
2.536072  326.449980
2.553106  325.151481
2.570140  314.519603
2.587174  334.294789
2.604208  334.919491
2.621242  325.988130
2.638277  307.872388
2.655311  320.951052
2.672345  325.173114
2.689379  328.388114
2.706413  323.766862
2.723447  326.263478
2.740481  333.176283
2.757515  327.455791
2.774549  327.504823
2.791583  329.882692
2.808617  331.235052
2.825651  326.128556
2.842685  332.700269
2.859719  326.605726
2.876754  316.418292
2.893788  318.155643
2.910822  313.715227
2.927856  317.083199
2.944890  323.792837
2.961924  318.528266
2.978958  322.319707
2.995992  320.066576
3.013026  321.087422
3.030060  323.144070
3.047094  317.953438
3.064128  318.680076
3.081162  327.729747
3.098196  325.161633
3.115230  329.982244
3.132265  333.529127
3.149299  335.034323
3.166333  338.174978
3.183367  331.614034
3.200401  332.651477
3.217435  321.231951
3.234469  329.913023
3.251503  324.082499
3.268537  331.897575
3.285571  330.245178
3.302605  337.092560
3.319639  338.115779
3.336673  341.699826
3.353707  346.062813
3.370741  344.736089
3.387776  335.284393
3.404810  341.292297
3.421844  343.060765
3.438878  334.727752
3.455912  339.760870
3.472946  341.175192
3.489980  345.469160
3.507014  333.682489
3.524048  343.051607
3.541082  338.681281
3.558116  341.685062
3.575150  341.552917
3.592184  324.385717
3.609218  337.044100
3.626253  333.698176
3.643287  332.120038
3.660321  334.476836
3.677355  332.546080
3.694389  331.712400
3.711423  328.756049
3.728457  341.183233
3.745491  332.290929
3.762525  330.210675
3.779559  334.483951
3.796593  340.200698
3.813627  332.269651
3.830661  324.862536
3.847695  332.895432
3.864729  334.571104
3.881764  326.789364
3.898798  328.213576
3.915832  328.464281
3.932866  320.137226
3.949900  331.377204
3.966934  319.869515
3.983968  334.410865
4.001002  324.874186
4.018036  326.404283
4.035070  333.709553
4.052104  333.866297
4.069138  332.422246
4.086172  319.338787
4.103206  335.925919
4.120240  326.335514
4.137275  323.736006
4.154309  333.239555
4.171343  323.929315
4.188377  330.215811
4.205411  328.817444
4.222445  333.469695
4.239479  319.264759
4.256513  322.440607
4.273547  311.325992
4.290581  321.168286
4.307615  321.211069
4.324649  322.653402
4.341683  320.907583
4.358717  312.845168
4.375752  316.258434
4.392786  318.466837
4.409820  323.827380
4.426854  315.032656
4.443888  327.061579
4.460922  309.142510
4.477956  318.155819
4.494990  321.013314
4.512024  328.216454
4.529058  332.384064
4.546092  337.102180
4.563126  329.036308
4.580160  328.706723
4.597194  335.684451
4.614228  321.460112
4.631263  319.786577
4.648297  314.247159
4.665331  318.453660
4.682365  320.787333
4.699399  317.012873
4.716433  309.455537
4.733467  310.014637
4.750501  309.165108
4.767535  316.061655
4.784569  315.959821
4.801603  312.175250
4.818637  315.438465
4.835671  304.754283
4.852705  309.070368
4.869739  307.145275
4.886774  315.370253
4.903808  303.184229
4.920842  301.863041
4.937876  292.687106
4.954910  293.629389
4.971944  295.191822
4.988978  269.696654
5.006012  177.521520
5.023046  35.398795
5.040080  0.048525
5.057114  0.000000
5.074148  0.000000
5.091182  0.000000
5.108216  0.000000
5.125251  0.000000
5.142285  0.000000
