# step cv h sig
0 -1.455586 0.239006 0.0500
100 -1.450824 0.223626 0.0500
200 -1.455459 0.210066 0.0500
300 -1.455571 0.198087 0.0500
400 -1.445234 0.188150 0.0500
500 -1.432591 0.182037 0.0500
600 -1.423933 0.176984 0.0500
700 -1.432123 0.164932 0.0500
800 -1.453132 0.156127 0.0500
900 -1.485977 0.168496 0.0500
1000 -1.524802 0.199721 0.0500
1100 -1.553465 0.212346 0.0500
1200 -1.562751 0.205813 0.0500
1300 -1.551925 0.188231 0.0500
1400 -1.521492 0.162639 0.0500
1500 -1.478173 0.137382 0.0500
1600 -1.425399 0.144590 0.0500
1700 -1.374908 0.192486 0.0500
1800 -1.335150 0.217368 0.0500
1900 -1.323243 0.211186 0.0500
2000 -1.348647 0.185857 0.0500
2100 -1.394822 0.147891 0.0500
2200 -1.437293 0.121939 0.0500
2300 -1.472636 0.121336 0.0500
2400 -1.504935 0.134459 0.0500
2500 -1.530247 0.146865 0.0500
2600 -1.542285 0.149772 0.0500
2700 -1.532833 0.137034 0.0500
2800 -1.501147 0.115542 0.0500
2900 -1.455631 0.104831 0.0500
3000 -1.407706 0.123942 0.0500
3100 -1.366383 0.152986 0.0500
3200 -1.326058 0.177548 0.0500
3300 -1.293515 0.194546 0.0500
3400 -1.277015 0.196965 0.0500
3500 -1.284440 0.181098 0.0500
3600 -1.316291 0.154720 0.0500
3700 -1.365258 0.132349 0.0500
3800 -1.421765 0.104224 0.0500
3900 -1.464772 0.096259 0.0500
4000 -1.495023 0.102817 0.0500
4100 -1.513278 0.109364 0.0500
4200 -1.522787 0.112031 0.0500
4300 -1.521993 0.108061 0.0500
4400 -1.497646 0.092977 0.0500
4500 -1.453426 0.086116 0.0500
4600 -1.398019 0.107233 0.0500
4700 -1.345333 0.129889 0.0500
4800 -1.298331 0.150285 0.0500
4900 -1.272068 0.165941 0.0500
5000 -1.262988 0.166943 0.0500
5100 -1.260327 0.161824 0.0500
5200 -1.269775 0.146595 0.0500
5300 -1.292269 0.127070 0.0500
5400 -1.319569 0.115495 0.0500
5500 -1.346684 0.110245 0.0500
5600 -1.365101 0.105545 0.0500
5700 -1.371031 0.101681 0.0500
5800 -1.359492 0.100244 0.0500
5900 -1.341948 0.099173 0.0500
6000 -1.316437 0.101223 0.0500
6100 -1.290105 0.110490 0.0500
6200 -1.270410 0.122725 0.0500
6300 -1.256354 0.133133 0.0500
6400 -1.255328 0.129404 0.0500
6500 -1.263361 0.116709 0.0500
6600 -1.274280 0.104147 0.0500
6700 -1.294992 0.090822 0.0500
6800 -1.324792 0.084988 0.0500
6900 -1.367761 0.087796 0.0500
7000 -1.411977 0.084000 0.0500
7100 -1.433814 0.079246 0.0500
7200 -1.434474 0.077447 0.0500
7300 -1.414298 0.078485 0.0500
7400 -1.383674 0.080959 0.0500
7500 -1.358032 0.079868 0.0500
7600 -1.347202 0.077888 0.0500
7700 -1.353441 0.076351 0.0500
7800 -1.372228 0.075105 0.0500
7900 -1.394601 0.073104 0.0500
8000 -1.407824 0.070966 0.0500
8100 -1.409419 0.069492 0.0500
8200 -1.405099 0.068377 0.0500
8300 -1.393058 0.067789 0.0500
8400 -1.377505 0.067476 0.0500
8500 -1.367789 0.066812 0.0500
8600 -1.366112 0.065681 0.0500
8700 -1.364010 0.064622 0.0500
8800 -1.368493 0.063194 0.0500
8900 -1.376660 0.061707 0.0500
9000 -1.386652 0.060387 0.0500
9100 -1.404754 0.059535 0.0500
9200 -1.422118 0.059701 0.0500
9300 -1.433787 0.060220 0.0500
9400 -1.436948 0.059742 0.0500
9500 -1.433774 0.058234 0.0500
9600 -1.425898 0.056297 0.0500
9700 -1.415074 0.054660 0.0500
9800 -1.403260 0.053717 0.0500
9900 -1.386501 0.053811 0.0500
10000 -1.361147 0.056236 0.0500
10100 -1.337075 0.060385 0.0500
10200 -1.325801 0.062560 0.0500
10300 -1.322086 0.062670 0.0500
10400 -1.329088 0.059452 0.0500
10500 -1.341412 0.055531 0.0500
10600 -1.355688 0.052311 0.0500
10700 -1.374774 0.049785 0.0500
10800 -1.395183 0.048737 0.0500
10900 -1.419708 0.049932 0.0500
11000 -1.437520 0.052574 0.0500
11100 -1.448863 0.054974 0.0500
11200 -1.452117 0.055198 0.0500
11300 -1.449714 0.053574 0.0500
11400 -1.443969 0.051122 0.0500
11500 -1.436826 0.048718 0.0500
11600 -1.425544 0.046200 0.0500
11700 -1.406543 0.044361 0.0500
11800 -1.388709 0.044339 0.0500
11900 -1.381906 0.044341 0.0500
12000 -1.383343 0.043665 0.0500
12100 -1.375292 0.043961 0.0500
12200 -1.365917 0.044712 0.0500
12300 -1.367852 0.043864 0.0500
12400 -1.375829 0.042318 0.0500
12500 -1.379951 0.041416 0.0500
12600 -1.384976 0.040562 0.0500
12700 -1.386768 0.040000 0.0500
12800 -1.386643 0.039562 0.0500
12900 -1.379046 0.039679 0.0500
13000 -1.361169 0.041724 0.0500
13100 -1.342620 0.045655 0.0500
13200 -1.321127 0.052889 0.0500
13300 -1.295268 0.066598 0.0500
13400 -1.260053 0.098738 0.0500
13500 -1.221147 0.153161 0.0500
13600 -1.195045 0.185561 0.0500
13700 -1.190670 0.181676 0.0500
13800 -1.205949 0.153976 0.0500
13900 -1.228190 0.120669 0.0500
14000 -1.248514 0.095239 0.0500
14100 -1.257009 0.085144 0.0500
14200 -1.254876 0.084934 0.0500
14300 -1.239858 0.096776 0.0500
14400 -1.222489 0.112991 0.0500
14500 -1.200512 0.136646 0.0500
14600 -1.188859 0.146542 0.0500
14700 -1.187757 0.142046 0.0500
14800 -1.197450 0.125084 0.0500
14900 -1.218436 0.099746 0.0500
15000 -1.240510 0.080237 0.0500
15100 -1.257037 0.069095 0.0500
15200 -1.255202 0.068687 0.0500
15300 -1.233253 0.080505 0.0500
15400 -1.197198 0.112037 0.0500
15500 -1.157704 0.160750 0.0500
15600 -1.127976 0.192230 0.0500
15700 -1.118270 0.192404 0.0500
15800 -1.121458 0.179264 0.0500
15900 -1.145733 0.147484 0.0500
16000 -1.179711 0.111334 0.0500
16100 -1.214264 0.083217 0.0500
16200 -1.235571 0.070124 0.0500
16300 -1.243887 0.065275 0.0500
16400 -1.233872 0.068298 0.0500
16500 -1.212234 0.078512 0.0500
16600 -1.179774 0.101052 0.0500
16700 -1.151249 0.125410 0.0500
16800 -1.141199 0.131423 0.0500
16900 -1.140477 0.127419 0.0500
17000 -1.149166 0.114700 0.0500
17100 -1.156698 0.104665 0.0500
17200 -1.158955 0.099880 0.0500
17300 -1.157302 0.098385 0.0500
17400 -1.161045 0.092997 0.0500
17500 -1.168371 0.085873 0.0500
17600 -1.174091 0.080613 0.0500
17700 -1.179263 0.076243 0.0500
17800 -1.173981 0.077220 0.0500
17900 -1.175181 0.074972 0.0500
18000 -1.183682 0.069701 0.0500
18100 -1.197990 0.063681 0.0500
18200 -1.217764 0.058333 0.0500
18300 -1.235503 0.054902 0.0500
18400 -1.244175 0.053117 0.0500
18500 -1.242832 0.052471 0.0500
18600 -1.237972 0.052227 0.0500
18700 -1.232757 0.052088 0.0500
18800 -1.223339 0.052671 0.0500
18900 -1.215981 0.053195 0.0500
19000 -1.207427 0.054266 0.0500
19100 -1.194332 0.057237 0.0500
19200 -1.182857 0.060843 0.0500
19300 -1.178010 0.062117 0.0500
19400 -1.173985 0.063144 0.0500
19500 -1.168634 0.065116 0.0500
19600 -1.161148 0.068886 0.0500
19700 -1.145951 0.080339 0.0500
19800 -1.132754 0.092880 0.0500
19900 -1.120075 0.107001 0.0500
20000 -1.111308 0.116516 0.0500
20100 -1.108569 0.116842 0.0500
20200 -1.109447 0.111817 0.0500
20300 -1.110909 0.106353 0.0500
20400 -1.112516 0.101118 0.0500
20500 -1.113458 0.097112 0.0500
20600 -1.115065 0.092578 0.0500
20700 -1.109258 0.097256 0.0500
20800 -1.092400 0.118015 0.0500
20900 -1.061300 0.164117 0.0500
21000 -1.034083 0.194967 0.0500
21100 -1.024930 0.194422 0.0500
21200 -1.037234 0.171686 0.0500
21300 -1.072230 0.124819 0.0500
21400 -1.104841 0.086660 0.0500
21500 -1.132278 0.064594 0.0500
21600 -1.147245 0.056329 0.0500
21700 -1.156606 0.052219 0.0500
21800 -1.157722 0.051135 0.0500
21900 -1.158971 0.050062 0.0500
22000 -1.156886 0.049947 0.0500
22100 -1.150311 0.051329 0.0500
22200 -1.145863 0.052232 0.0500
22300 -1.135397 0.056165 0.0500
22400 -1.121470 0.063623 0.0500
22500 -1.104833 0.075863 0.0500
22600 -1.076455 0.104854 0.0500
22700 -1.047242 0.138086 0.0500
22800 -1.028988 0.154743 0.0500
22900 -1.025279 0.152389 0.0500
23000 -1.030844 0.140035 0.0500
23100 -1.050025 0.115586 0.0500
23200 -1.081588 0.084366 0.0500
23300 -1.117995 0.058112 0.0500
23400 -1.151765 0.045187 0.0500
23500 -1.187115 0.041366 0.0500
23600 -1.212555 0.041813 0.0500
23700 -1.227078 0.042355 0.0500
23800 -1.230507 0.042119 0.0500
23900 -1.229644 0.041560 0.0500
24000 -1.215689 0.040142 0.0500
24100 -1.190351 0.039044 0.0500
24200 -1.164848 0.040482 0.0500
24300 -1.129909 0.049631 0.0500
24400 -1.084411 0.077489 0.0500
24500 -1.039784 0.116856 0.0500
24600 -1.014307 0.141323 0.0500
24700 -1.014291 0.135867 0.0500
24800 -1.039261 0.106116 0.0500
24900 -1.080032 0.073434 0.0500
25000 -1.121459 0.049997 0.0500
25100 -1.150718 0.040716 0.0500
25200 -1.169744 0.037812 0.0500
25300 -1.175756 0.037070 0.0500
25400 -1.172991 0.036823 0.0500
25500 -1.160699 0.037548 0.0500
25600 -1.139127 0.041450 0.0500
25700 -1.102449 0.056263 0.0500
25800 -1.060205 0.082919 0.0500
25900 -1.012479 0.125841 0.0500
26000 -0.972371 0.174720 0.0500
26100 -0.945180 0.199070 0.0500
26200 -0.936332 0.196631 0.0500
26300 -0.947726 0.176060 0.0500
26400 -0.975497 0.142672 0.0500
26500 -1.005527 0.112221 0.0500
26600 -1.036657 0.088482 0.0500
26700 -1.061779 0.073095 0.0500
26800 -1.059231 0.072886 0.0500
26900 -1.035137 0.084108 0.0500
27000 -0.994451 0.111474 0.0500
27100 -0.946769 0.155139 0.0500
27200 -0.916470 0.179656 0.0500
27300 -0.903565 0.183309 0.0500
27400 -0.899785 0.177599 0.0500
27500 -0.902105 0.166990 0.0500
27600 -0.914749 0.149580 0.0500
27700 -0.935770 0.130548 0.0500
27800 -0.961244 0.113760 0.0500
27900 -0.986817 0.098871 0.0500
28000 -1.003614 0.088868 0.0500
